Serial No.,Prompts
1,I’m feeling anxious all the time and I don’t know what to do.
2,I think I am going to fail my exam and now I feel worthless.
3,I feel like my parents don’t love me anymore.
4,I haven’t been sleeping well because I’m overthinking everything.
5,I feel empty inside even when everything in my life seems to be going on fine.
6,I want to do better but I have feel like I have zero motivation.
7,I feel like nobody actually cares about me.
8,I think it’ll be better if I just give up.
9,All of this stress is making me want to pull out my hair.
10,I don’t think I have any purpose in life.
